Run ID,Player ID,Place,Speedrun Time,Verified,Examiner ID,Platform ID,Platform Name,Category ID,Category Name,Player Name,Player Country,Player Pronouns
y8jvewdz,8d41oyo8,44,15.233,TRUE,8l4n3klj,gde3xgek,iOS,zd3l938d,Coins,Mustarda,br,He/Him
zq775v9m,x336w26x,44,15.233,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,PILLOWN,br,Not Mentioned
mr70132z,x33e1y6x,44,15.233,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,b3ttr,us,He/Him
mrrq8xgm,joo01gnj,44,15.233,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,_rubens_13,br,Not Mentioned
zq0pl95y,8q3e43dj,48,15.237,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Tutuo,br,He/Him
m7662e4y,x7wg9968,49,15.24,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,PedrokaDaB,Not Mentioned,Not Mentioned
mr7qe47z,xk347y68,50,15.241,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Filipe_Alves,br,Not Mentioned
z52x4vdz,8gr5o7yx,51,15.25,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Savage5urvivor,gb,Not Mentioned
yl15x93m,jn3k1yqx,52,15.267,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Xiv000,aq,He/Him
y4q0gk2m,8r3vwkg8,53,15.28,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,iurilkz0,Not Mentioned,He/Him
zgpo8ddz,j4v9mrvj,54,15.283,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,LORD_VITOR,Not Mentioned,Not Mentioned
yvrlep4z,81kd9ylj,55,15.3,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,Capuzin,br,Not Mentioned
y2p60nwz,8l3vrzl8,55,15.3,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,J89de,pl,He/Him
m704rk4y,jpyr41yj,55,15.3,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,IdoPezarkar2010,il,He/Him
y9ljlvey,xkmr21kj,58,15.317,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,LexaKT,br,She/Her
m7we5d9z,8e97l92j,58,15.317,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Rafa1_BR_,br,Not Mentioned
yopp3n5m,8q34nz7j,60,15.333,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,Dragby,fr,He/Him
zp9xn5gm,8eky1qp8,60,15.333,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Jarozx,br,Not Mentioned
y2p897jz,8qovo9dj,60,15.333,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,likewho,Not Mentioned,Not Mentioned
y8x0pdnm,8rllyrw8,60,15.333,TRUE,8l0qwkr8,gde3xgek,iOS,zd3l938d,Coins,foxygaming1223,Not Mentioned,Not Mentioned
z1gewk9z,98r0e0q8,60,15.333,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,PuppisFoetor,us,Not Mentioned
y48oe73m,8q34q4dj,65,15.367,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Pedroribeiro,br,He/Him
ylejo12z,j5v4pnq8,65,15.367,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Gabriel_dazk,br,He/Him
zp9dqdvm,8g57zmyj,65,15.367,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Nuggett18,au,He/Him
yvr0wk4z,8v6y0gnx,65,15.367,TRUE,8e913qdj,gde3xgek,iOS,zd3l938d,Coins,Kzety,ca,Not Mentioned
y60on1qy,8vo5denx,65,15.367,TRUE,xyrez5mj,gde3xgek,iOS,zd3l938d,Coins,Lukka2,br,She/Her
zq7jeg5m,8e6ekg6j,65,15.367,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,NIGHTMARE724,us,Not Mentioned
y4qnrpnm,8r30vwd8,65,15.367,TRUE,x3qmp56j,gde3xgek,iOS,zd3l938d,Coins,FlaceCity,Not Mentioned,Not Mentioned
y4x09jdz,8d03wo9x,65,15.367,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,uKillerOEz,Not Mentioned,Not Mentioned
y88j38xy,8eko0528,73,15.379,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,JotaveAloneNever,br,He/Him
yvqo626m,jmlkopo8,74,15.4,TRUE,8l4n3klj,gde3xgek,iOS,zd3l938d,Coins,Blasian,us,He/Him
y600po0y,x7wgeo68,74,15.4,TRUE,8l0qwkr8,lq60nl94,Android,zd3l938d,Coins,albertpunchline,tr,Not Mentioned
zx73eq8y,8dg91e58,74,15.4,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,I_change23,pt,He/Him
m76o194y,j4r60e58,74,15.4,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,MirDM,ar,Not Mentioned
yjpo7vdy,81kdylqj,74,15.4,TRUE,x3qmp56j,lq60nl94,Android,zd3l938d,Coins,DeadKill,br,He/Him
y60w0jjy,jm34dgn8,74,15.4,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Vitorml2010,br,Not Mentioned
ylnv2rnz,8w06plqj,74,15.4,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,El_Parac0smos,ca,Not Mentioned
yw350dnm,8w9d6y4j,81,15.417,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,GustavoGx,br,Not Mentioned
y6oqw0jy,xyo9rnmj,81,15.417,TRUE,pj0o1g4j,gde3xgek,iOS,zd3l938d,Coins,Fanoi,in,Not Mentioned
m3r9gxwm,xz7e44nj,83,15.433,TRUE,7j4pvrmj,lq60nl94,Android,zd3l938d,Coins,Bairmeid0172,gr,She/Her
y60l7opy,8r32evw8,83,15.433,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Hiroxooo,br,Not Mentioned
yjp51n7y,8l3rgk78,83,15.433,TRUE,xk49l57j,lq60nl94,Android,zd3l938d,Coins,zumbisinho,br,Not Mentioned
yoppd77m,xz15zv9j,83,15.433,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,L7KYZ7,br,Not Mentioned
yddn1oqy,xk3qz778,83,15.433,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,Gadodanna,br,Not Mentioned
mr7x8v7z,866dl7w8,83,15.433,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Mvzin,Not Mentioned,Not Mentioned
yl7xvqxm,jm3yzoy8,83,15.433,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Bernardino,Not Mentioned,Not Mentioned
me10n20y,x3391lqx,83,15.433,TRUE,pj0o1g4j,lq60nl94,Android,zd3l938d,Coins,Kauan132,br,He/Him
zp9xdjrm,xk3qp468,91,15.44,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,FrostDragonZera,it,He/Him
mrn9854y,j263rk6x,92,15.442,TRUE,1xyy9oyx,lq60nl94,Android,zd3l938d,Coins,Alexmart45_yt,us,He/Him
yddgl2jy,8w95o9qj,93,15.448,TRUE,kj9p77x4,gde3xgek,iOS,zd3l938d,Coins,SirPickleton,Not Mentioned,Not Mentioned
y609vwpy,j23p3q6x,94,15.467,TRUE,xk49l57j,lq60nl94,Android,zd3l938d,Coins,Heifilo,br,Not Mentioned
y4ql97qm,8gmndd28,94,15.467,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,linn,br,He/Him
y9vpvd2m,x3qmp56j,94,15.467,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Bluestonex64,pt,He/Him
m33wvrwm,xz145knj,94,15.467,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,Fe_Biel22k,br,Not Mentioned
y6x5l61y,jpol92k8,98,15.476,TRUE,j51p0268,lq60nl94,Android,zd3l938d,Coins,Er1ckzX,br,Not Mentioned
mkkelgxm,jm37don8,99,15.48,TRUE,j51p0268,lq60nl94,Android,zd3l938d,Coins,l3en,us,He/Him
mr7xnp7z,8w9mq7lj,100,15.484,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,PATO_br,br,He/Him
yw33gx0m,8qo0wg0j,101,15.5,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,rmzinfxp7,Not Mentioned,Not Mentioned
znp2vk8m,8eklg768,101,15.5,TRUE,kj9p77x4,lq60nl94,Android,zd3l938d,Coins,PKzinn,Not Mentioned,Not Mentioned
